epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,211.23,1.07757,1.99552,1.64586,0.94766,0.92861,0.93224,0.56307,1.32603,2.12679,2.52627,0.000654971,0.000654971,0.000654971
2,421.5,1.11086,1.49424,1.60976,0.77063,0.68928,0.78993,0.3995,1.40168,1.9746,2.38959,0.00127802,0.00127802,0.00127802
3,614.403,1.2502,1.50264,1.70595,0.76645,0.87179,0.84161,0.44829,1.56119,2.20475,2.44156,0.00185708,0.00185708,0.00185708
4,807.527,1.21866,1.42751,1.70297,0.59978,0.76923,0.68715,0.24515,1.90772,1.96203,3.12596,0.001802,0.001802,0.001802
5,996.131,1.19185,1.29239,1.69228,0.80661,0.87179,0.909,0.46977,1.66855,1.79192,2.67569,0.001736,0.001736,0.001736
6,1185.08,1.10945,1.14771,1.61197,0.85122,0.79487,0.89211,0.58694,1.16812,1.29258,1.97332,0.00167,0.00167,0.00167
7,1397.24,1.1285,1.13707,1.60983,0.70663,0.98827,0.80865,0.48168,1.29286,1.6668,2.07267,0.001604,0.001604,0.001604
8,1601.79,1.06566,1.10305,1.5587,0.76021,1,0.92359,0.63946,1.0016,0.98362,1.81552,0.001538,0.001538,0.001538
9,1800.03,1.04844,1.01913,1.54325,0.95553,0.92308,0.98849,0.60172,1.31171,1.14733,2.15571,0.001472,0.001472,0.001472
10,1995.25,1.02694,0.98805,1.53809,0.99202,0.97436,0.9945,0.76737,0.89284,0.81412,1.64594,0.001406,0.001406,0.001406
11,2189.05,0.98079,0.93346,1.48958,0.96833,0.97436,0.98683,0.67475,1.08722,0.72347,1.8301,0.00134,0.00134,0.00134
12,2386.59,1.00634,0.90212,1.51445,0.93607,0.97436,0.99107,0.74943,0.98347,0.67396,1.72603,0.001274,0.001274,0.001274
13,2584.13,0.93992,0.86185,1.46013,0.99081,1,0.995,0.78468,0.85326,0.54238,1.58546,0.001208,0.001208,0.001208
14,2768.25,0.90095,0.81739,1.4217,0.99845,1,0.995,0.77553,0.80482,0.52904,1.45539,0.001142,0.001142,0.001142
15,2954.71,0.90173,0.80841,1.4324,0.99152,1,0.995,0.83683,0.72493,0.48015,1.36285,0.001076,0.001076,0.001076
16,3139.25,0.92692,0.79442,1.46846,0.99765,1,0.995,0.75201,0.91935,0.47294,1.59201,0.00101,0.00101,0.00101
17,3354.16,0.86778,0.76807,1.41151,0.99814,1,0.995,0.73167,0.94213,0.55169,1.57949,0.000944,0.000944,0.000944
18,3579.33,0.86409,0.73248,1.40319,0.97388,1,0.995,0.72481,1.08872,0.63509,1.94936,0.000878,0.000878,0.000878
19,3822.75,0.8284,0.67935,1.37563,0.99958,1,0.995,0.71839,1.04344,0.51074,1.91984,0.000812,0.000812,0.000812
20,4036.15,0.8275,0.69603,1.369,0.99829,1,0.995,0.78896,0.79065,0.41304,1.50944,0.000746,0.000746,0.000746
21,4217.02,0.628,0.54075,1.38443,0.99832,1,0.995,0.81581,0.71207,0.43098,1.31988,0.00068,0.00068,0.00068
22,4397.13,0.63403,0.47521,1.37358,0.99824,1,0.995,0.73699,0.97154,0.50221,1.71469,0.000614,0.000614,0.000614
23,4576.89,0.59175,0.44752,1.3345,0.99809,1,0.995,0.79661,0.82633,0.39704,1.47657,0.000548,0.000548,0.000548
24,4756.72,0.59894,0.42543,1.32127,0.99826,1,0.995,0.83998,0.66428,0.36914,1.28099,0.000482,0.000482,0.000482
25,4946.99,0.55733,0.405,1.29345,0.9859,1,0.995,0.84028,0.62558,0.34187,1.22253,0.000416,0.000416,0.000416
26,5189.09,0.52248,0.35815,1.27243,0.99856,1,0.995,0.81072,0.76402,0.34641,1.39542,0.00035,0.00035,0.00035
27,5420.05,0.50391,0.3421,1.23875,0.99853,1,0.995,0.85435,0.63243,0.3033,1.21943,0.000284,0.000284,0.000284
28,5620.14,0.51002,0.33011,1.2552,0.9985,1,0.995,0.8488,0.62674,0.29673,1.2155,0.000218,0.000218,0.000218
29,5801.56,0.47016,0.31317,1.22045,0.99842,1,0.995,0.84629,0.63131,0.30909,1.24113,0.000152,0.000152,0.000152
30,5982.42,0.47226,0.31812,1.22421,0.99834,1,0.995,0.83565,0.67339,0.31936,1.31395,8.6e-05,8.6e-05,8.6e-05
